"species","species_sci","modR","modZI","modFAM"
"Common Redstart","Phoenicurus phoenicurus","atl","PCA","zip"
"Common Blackbird","Turdus merula","both","none","nb"
"White Wagtail","Motacilla alba","both","PCAF","zip"
"Common Chiffchaff","Phylloscopus collybita","both","R","zinb"
